id;lat;lng;type;title;url;mobileurl;distance
7317638;48.5826;7.74884;landmark;Maison aux Cigognes;http://fr.wikipedia.org/w/index.php?curid=7317638;http://fr.m.wikipedia.org/w/index.php?curid=7317638;15m
5561879;48.5826;7.74884;landmark;Maison aux Cigognes (14 rue des Orfèvres - Strasbourg);http://fr.wikipedia.org/w/index.php?curid=5561879;http://fr.m.wikipedia.org/w/index.php?curid=5561879;15m
7882708;48.5829;7.74944;landmark;Chez Yvonne;http://fr.wikipedia.org/w/index.php?curid=7882708;http://fr.m.wikipedia.org/w/index.php?curid=7882708;70m
7317241;48.5822;7.74954;landmark;Immeuble au 17 rue des Hallebardes à Strasbourg;http://fr.wikipedia.org/w/index.php?curid=7317241;http://fr.m.wikipedia.org/w/index.php?curid=7317241;76m
7317469;48.5819;7.74895;landmark;Maison au 7 rue des Hallebardes à Strasbourg;http://fr.wikipedia.org/w/index.php?curid=7317469;http://fr.m.wikipedia.org/w/index.php?curid=7317469;78m
7317463;48.5819;7.7489;landmark;Maison au 5 rue des Hallebardes à Strasbourg;http://fr.wikipedia.org/w/index.php?curid=7317463;http://fr.m.wikipedia.org/w/index.php?curid=7317463;80m
1669075;48.5833;7.74842;landmark;Église du Temple-Neuf de Strasbourg;http://fr.wikipedia.org/w/index.php?curid=1669075;http://fr.m.wikipedia.org/w/index.php?curid=1669075;82m
7317252;48.5821;7.74959;landmark;Immeuble au 22 rue des Hallebardes à Strasbourg;http://fr.wikipedia.org/w/index.php?curid=7317252;http://fr.m.wikipedia.org/w/index.php?curid=7317252;86m
7317474;48.5818;7.74913;landmark;Maison au 8 rue des Hallebardes à Strasbourg;http://fr.wikipedia.org/w/index.php?curid=7317474;http://fr.m.wikipedia.org/w/index.php?curid=7317474;87m
7317218;48.5818;7.74913;landmark;Immeuble au 8 rue du Fossé-des-Tailleurs à Strasbourg;http://fr.wikipedia.org/w/index.php?curid=7317218;http://fr.m.wikipedia.org/w/index.php?curid=7317218;93m
6396612;48.5816;7.74893;landmark;Place Gutenberg;http://fr.wikipedia.org/w/index.php?curid=6396612;http://fr.m.wikipedia.org/w/index.php?curid=6396612;104m
382155;48.5819;7.74972;landmark;Maison Kammerzell;http://fr.wikipedia.org/w/index.php?curid=382155;http://fr.m.wikipedia.org/w/index.php?curid=382155;105m
7317237;48.5831;7.74713;landmark;Immeuble aux 33-37 rue des Grandes-Arcades à Strasbourg;http://fr.wikipedia.org/w/index.php?curid=7317237;http://fr.m.wikipedia.org/w/index.php?curid=7317237;124m
7317022;48.5828;7.74693;landmark;Chambre de la taille et des subhastations;http://fr.wikipedia.org/w/index.php?curid=7317022;http://fr.m.wikipedia.org/w/index.php?curid=7317022;127m
7317305;48.5816;7.74977;landmark;Immeubles au 11 rue Mercière à Strasbourg;http://fr.wikipedia.org/w/index.php?curid=7317305;http://fr.m.wikipedia.org/w/index.php?curid=7317305;134m
520027;48.5838;7.7482;edu;Gymnase Jean-Sturm;http://fr.wikipedia.org/w/index.php?curid=520027;http://fr.m.wikipedia.org/w/index.php?curid=520027;144m
7317655;48.5831;7.75049;landmark;Maison Spach;http://fr.wikipedia.org/w/index.php?curid=7317655;http://fr.m.wikipedia.org/w/index.php?curid=7317655;150m
